id,takip_tamamlama,takip_anket_tarihi,takip_calisma_durumu_son_4hafta,takip_calisma_durumu_20_saat,takip_sgk_kaydi,takip_calisma_saat_ort,takip_calisma_aylik_gelir_ort
64244003,1.0,21/02/2012,No,,,,
67803024,1.0,16/01/2012,No,,,,
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
65459003,1.0,16/02/2012,Yes,Yes,Yes,72.0,700.0
68232049,1.0,03/02/2012,Yes,Yes,No,35.0,99999.0
59026033,1.0,13/02/2012,No,,No,60.0,150.0
67803045,1.0,15/02/2012,No,,Yes,52.0,400.0
65493029,1.0,24/02/2012,Yes,No,,,
64068002,1.0,25/01/2012,No,,,,
65358129,1.0,02/02/2012,No,,,,
64068018,1.0,25/01/2012,Yes,Yes,Yes,20.0,750.0
64353009,1.0,24/01/2012,No,,Yes,70.0,1180.0
65988013,1.0,07/02/2012,No,,,,
68301015,1.0,26/01/2012,No,,,,
67032061,1.0,19/01/2012,No,,No,84.0,1000.0
65473004,1.0,25/01/2012,Yes,Yes,Yes,72.0,640.0
66451013,1.0,17/02/2012,No,,,,
67826014,1.0,18/02/2012,No,,,,
65493033,1.0,27/02/2012,No,,Yes,999.0,600.0
65358186,1.0,23/02/2012,No,,,,
65984088,1.0,15/01/2012,No,,No,25.0,250.0
64338032,1.0,21/02/2012,Yes,No,Yes,48.0,700.0
60983005,1.0,01/02/2012,Yes,Yes,Yes,72.0,680.0
67842026,1.0,04/01/2012,Yes,Yes,Yes,60.0,1100.0
64283014,1.0,30/01/2012,No,,,,
65481014,1.0,22/01/2012,Yes,Yes,Yes,70.0,1290.0
68441038,1.0,09/02/2012,No,,Yes,50.0,1500.0
68441036,1.0,04/02/2012,No,,Yes,50.0,700.0
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
68357013,1.0,09/02/2012,Yes,Yes,Yes,56.0,700.0
65474015,1.0,21/02/2012,No,,,,
67579039,1.0,13/01/2012,No,,,,
66837006,1.0,08/02/2012,No,,Yes,36.0,500.0
68304078,1.0,18/01/2012,Yes,Yes,Yes,45.0,2000.0
65240076,1.0,13/02/2012,Yes,Yes,Yes,24.0,690.0
67799043,1.0,15/02/2012,No,,Yes,999.0,750.0
65358005,1.0,31/01/2012,No,,,,
65293011,1.0,10/02/2012,Yes,Yes,Yes,60.0,730.0
64283040,1.0,14/02/2012,Yes,Yes,Yes,48.0,700.0
67799020,1.0,15/02/2012,No,,Yes,70.0,700.0
66086027,1.0,03/02/2012,No,,,,
67703040,1.0,26/02/2012,Yes,Yes,Yes,60.0,900.0
65358039,1.0,23/02/2012,No,,No,66.0,400.0
64264025,1.0,20/01/2012,Yes,Yes,Yes,77.0,600.0
65988033,1.0,16/02/2012,No,,,,
68097064,1.0,13/02/2012,Yes,Yes,Yes,54.0,2500.0
60409037,1.0,07/01/2012,No,,Yes,30.0,800.0
60929008,1.0,20/02/2012,Yes,Yes,Yes,50.0,650.0
64068042,1.0,17/02/2012,No,,No,48.0,1500.0
65493013,1.0,14/01/2012,Yes,Yes,Yes,40.0,750.0
64248001,1.0,18/01/2012,No,,,,
67805002,1.0,10/01/2012,Yes,Yes,No,48.0,50.0
67034050,1.0,03/03/2012,Yes,Yes,Yes,55.0,850.0
64295033,1.0,22/02/2012,No,,,,
67032056,1.0,19/01/2012,Yes,Yes,No,45.0,850.0
59026040,1.0,02/02/2012,No,,Yes,48.0,680.0
66451032,1.0,29/02/2012,No,,Yes,45.0,900.0
64337026,1.0,09/02/2012,No,,No,40.0,600.0
64281002,1.0,11/02/2012,Yes,Yes,Yes,55.0,730.0
64247001,1.0,22/02/2012,No,,No,70.0,200.0
65358183,1.0,23/02/2012,No,,,,
67579003,1.0,28/12/2011,No,,No,60.0,400.0
64357059,1.0,27/01/2012,No,,No,50.0,400.0
68158074,1.0,01/02/2012,No,,No,40.0,450.0
65987041,1.0,17/01/2012,Yes,Yes,Yes,45.0,99999.0
64338017,1.0,18/02/2012,Yes,Yes,Yes,56.0,830.0
66451046,1.0,06/02/2012,No,,No,48.0,350.0
68441016,1.0,09/02/2012,No,,,,
67703022,1.0,17/01/2012,Yes,Yes,No,48.0,700.0
64281024,1.0,12/02/2012,No,,,,
64247017,1.0,25/01/2012,No,,No,50.0,700.0
